408567	342526	NEXT_STATE	342527
338210	5569	REF0	289679
700747	575487	NEXT_STATE	575488
293294	253968	NEXT_STEP	253969
195143	170364	PROOF	170517
173452	152645	NEXT_STATE	152646
526821	431181	REF0	431966
76906	66240	NEXT_STEP	66241
498722	411716	NEXT_STEP	411717
463836	386201	NEXT_STATE	386202
101118	87932	PROOF	88336
370504	21250	REF1	312567
757953	621923	NEXT_STATE	621924
93386	81946	NEXT_STEP	81947
556198	453239	NEXT_STEP	453241
129849	114580	NEXT_STATE	114582
150051	133670	NEXT_STEP	133671
476402	395840	NEXT_STEP	395841
435308	364903	NEXT_STATE	364904
167708	147811	REF0	147810
538683	440489	NEXT_STATE	440490
272804	237873	NEXT_STEP	237875
407167	341610	NEXT_STATE	341612
672685	551838	NEXT_STEP	551839
378136	280808	PROOF	318437
125479	109659	REF0	109658
196054	171198	NEXT_STATE	171199
231699	113313	REF1	202186
742845	610774	NEXT_STATE	610775
13918	3302	REF1	11350
457399	381508	NEXT_STATE	381509
482746	400609	PROOF	400929
163231	144087	NEXT_STEP	144095
615472	61909	REF0	503386
85696	74310	NEXT_STATE	74311
186851	163559	NEXT_STEP	163560
672426	442504	REF1	551668
693783	569182	NEXT_STATE	569183
643919	529453	NEXT_STEP	529454
13207	10774	NEXT_STEP	10776
771556	632445	NEXT_STEP	632446
303154	261612	NEXT_STATE	261613
503197	414924	NEXT_STATE	414926
131177	115857	NEXT_STATE	115858
459102	382756	NEXT_STEP	382757
161123	142107	NEXT_STATE	142108
678550	556383	NEXT_STEP	556384
509829	420008	NEXT_STEP	420009
138653	109076	PROOF	124237
505438	416694	NEXT_STATE	416695
628757	516646	NEXT_STEP	516647
301541	260322	REF0	260426
73664	62840	NEXT_STATE	62841
124768	109006	NEXT_STEP	109007
791200	6293	REF0	650302
486030	402956	NEXT_STATE	402957
574135	693	REF0	466100
445623	372426	NEXT_STEP	372427
620843	478347	REF0	508762
652680	26953	PROOF	536381
393227	330286	NEXT_STEP	330288
48938	39328	PROOF	39332
349963	294872	REF0	298066
333043	285530	NEXT_STEP	285531
405940	340671	NEXT_STATE	340672
35597	26128	PROOF	27562
361580	129252	REF0	306381
586200	477112	NEXT_STEP	477121
50030	40287	NEXT_STEP	40288
121761	105455	NEXT_STATE	105456
98294	85818	NEXT_STATE	85819
597179	484884	PROOF	485179
767432	628663	NEXT_STEP	628664
513499	422812	NEXT_STATE	422813
262386	229270	NEXT_STEP	229272
486159	403031	NEXT_STATE	403032
721299	593371	NEXT_STEP	593372
466314	380198	PROOF	388056
382240	321516	NEXT_STEP	321517
409924	343497	NEXT_STEP	343498
48656	38723	PROOF	39049
554189	451889	NEXT_STEP	451890
686648	563272	NEXT_STEP	563273
291072	216488	REF0	252316
682566	559787	NEXT_STEP	559788
82436	63435	REF0	71329
512337	421839	NEXT_STATE	421840
225532	196709	NEXT_STATE	196710
423872	351436	REF0	355110
127538	111874	NEXT_STEP	111881
154511	137068	NEXT_STEP	137069
770661	631538	NEXT_STEP	631539
535423	127387	REF0	438231
638631	525114	PROOF	525134
592662	481760	NEXT_STATE	481761
34863	26525	REF0	26811
234265	195179	REF1	204371
504389	415846	NEXT_STEP	415853
24217	18882	NEXT_STEP	18883
450402	376160	NEXT_STATE	376161
127852	112406	NEXT_STEP	112407
552767	450629	NEXT_STATE	450630
377649	317965	NEXT_STATE	317966
513758	933	REF0	422989
378294	2482	REF0	318586
378656	318831	NEXT_STEP	318847
321269	234855	REF0	275567
420968	352585	NEXT_STATE	352586
8480	7243	NEXT_STEP	7250
256031	223279	PROOF	223340
299784	259023	NEXT_STATE	259024
235635	205814	NEXT_STEP	205815
